Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.00029704726,-4.7583585702187925,67.60689655172413,2.83024,-4.756256889448398
20000,1.4198551,0.0002910021,-4.768037034784573,65.03311258278146,1.8431612,-4.768022477232067
30000,1.420517,0.00028497863,-4.5656412859261035,64.66666666666667,1.5619318,-4.568936367105964
40000,1.4218483,0.00027900297,-4.572214442766333,64.63157894736842,0.8466378,-4.568997308365162
50000,1.422064,0.00027301526,-4.553942413726337,66.54109589041096,0.15235311,-4.557371345861834
60000,1.4216837,0.0002670104,-4.662295902344536,66.58783783783784,-0.2879361,-4.6595740831222665
70000,1.4216098,0.00026100897,-4.767411881175805,64.45033112582782,-0.606485,-4.769352599194176
80000,1.422024,0.0002550262,-4.966997359251882,63.383116883116884,-1.0459723,-4.966452248053613
90000,1.4219961,0.0002490075,-4.580917369652419,63.748387096774195,-1.3657994,-4.580851586259181
100000,1.4219605,0.00024300786,-4.3944088903635405,62.22929936305732,-1.51773,-4.394419084119189
110000,1.4223167,0.00023703816,-4.378633945424024,63.830065359477125,-1.5848244,-4.37870189630323
120000,1.4220662,0.00023101826,-4.773532855144191,62.935483870967744,-1.9180216,-4.7752960946601934
130000,1.4214631,0.00022497814,-4.4061249418795345,61.4375,-2.0355988,-4.402060325790501
140000,1.4211413,0.00021898176,-4.469880756474908,64.8476821192053,-2.1557994,-4.469817191263698
150000,1.420233,0.00021299542,-3.9516661817906424,65.45945945945945,-2.1397119,-3.959118092520125
160000,1.4192097,0.00020700636,-4.1778196986737095,64.89473684210526,-2.289404,-4.171950961333632
170000,1.418837,0.0002010008,-4.130991614006537,67.38888888888889,-2.434453,-4.235162444723149
180000,1.4187475,0.00019500265,-4.188375271802357,64.01298701298701,-2.5370057,-4.090980469309664
190000,1.4186028,0.00018901046,-4.37436312486534,64.125,-2.7553525,-4.374464460011375
200000,1.4185199,0.00018300548,-4.378201260073172,63.490196078431374,-2.7847931,-4.382542816365694
210000,1.4185876,0.00017698926,-4.047459843185204,66.74149659863946,-2.77481,-4.047459845893642
220000,1.4187807,0.00017097616,-4.374676251128365,64.47368421052632,-2.833328,-4.374676268155637
230000,1.4190408,0.00016497161,-4.16638661767977,65.32666666666667,-2.7654884,-4.166386608133713
240000,1.4193034,0.00015899456,-4.370721806591648,65.01324503311258,-2.9440455,-4.366170622110367
250000,1.4192413,0.00015300167,-4.149038069007196,66.25170068027211,-2.9886992,-4.148797264715442
260000,1.4186939,0.00014699138,-4.568841008770137,64.47019867549669,-3.1939824,-4.572261820155147
270000,1.418263,0.00014098684,-3.9595583654196322,65.85234899328859,-2.8108358,-3.9595583380268726
280000,1.4180721,0.00013498621,-3.8738635177045615,64.88741721854305,-2.7311175,-3.8659746072689694
290000,1.4179952,0.00012900284,-3.67497611800918,64.66225165562913,-2.6015067,-3.675001299785857
300000,1.4178106,0.00012300568,-4.2663079579391825,65.24666666666667,-2.7439837,-4.271520498227205
310000,1.4172965,0.0001169847,-3.9233013408374973,67.97916666666667,-2.8098738,-3.915134200787211
320000,1.4169905,0.00011098603,-3.2543704329049152,65.42953020134229,-2.126097,-3.2666159415741762
330000,1.4170089,0.00010498674,-3.4561503073559985,65.79194630872483,-2.4298744,-3.45615029605043
340000,1.4172089,9.8998775e-05,-3.5760555913369636,65.03311258278146,-2.557541,-3.6661426173647245
350000,1.4168967,9.298532e-05,-2.448955686117566,65.3489932885906,-1.9678532,-2.3663826368252434
360000,1.4167057,8.7002176e-05,-3.2309972244492244,66.63265306122449,-2.1171472,-3.218346508704636
370000,1.4166893,8.100136e-05,-2.6140600633244424,64.05228758169935,-1.6480635,-2.6142090720678466
380000,1.4166975,7.4969335e-05,-3.709086417235554,62.92258064516129,-2.2621233,-3.7177153393530693
390000,1.4167448,6.899244e-05,-2.9873006064342276,61.74842767295598,-2.1287944,-2.9742455566891386
400000,1.4165771,6.301016e-05,-3.031939323596476,63.13548387096774,-2.3289924,-3.031935441638193
410000,1.4163904,5.700449e-05,-2.6596371408041497,62.506410256410255,-1.8023988,-2.659437152867516
420000,1.416447,5.100243e-05,-2.1785153603115575,62.19230769230769,-1.573144,-2.197007622261336
430000,1.4164569,4.4978322e-05,-2.500134149133051,62.392405063291136,-1.6688854,-2.48389934715192
440000,1.4164431,3.897965e-05,-2.590991429666557,59.58536585365854,-1.7549345,-2.6058884597185887
450000,1.4163777,3.3002103e-05,-2.452680736738228,60.42857142857143,-1.7639993,-2.45268071271618
460000,1.4163103,2.7008726e-05,-2.0438087627616763,61.742138364779876,-1.6529357,-2.1196987147949917
470000,1.4162803,2.10065e-05,-2.878662976872345,59.57575757575758,-2.074192,-2.7877187179345073
480000,1.4162675,1.5007665e-05,-2.137772285864167,61.327044025157235,-1.6964746,-2.156029962282628
490000,1.416238,8.983826e-06,-1.4668873900360802,58.862275449101794,-1.2752321,-1.5356361063040165
500000,1.4162209,2.9635587e-06,-2.0781120082155904,59.10843373493976,-1.4030762,-2.0780613872121614
