Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.0002992698,-5.121475300073381,119.47826086956522,4.2087126,-5.121475331917189
20000,1.4191787,0.0002977513,-4.9110139480162935,171.40350877192984,3.1833026,-4.91101396907317
30000,1.4198961,0.00029624713,-4.9156432773646275,162.96666666666667,2.5449033,-4.915643285090725
40000,1.4211644,0.0002947492,-4.940761473355217,130.83333333333334,2.5752697,-4.940761465483751
50000,1.4216106,0.0002932598,-4.908382998013837,160.0677966101695,2.2966986,-4.908382970650317
60000,1.421248,0.00029175158,-5.1364530965632795,134.22784810126583,1.907067,-5.136453059560891
70000,1.4225833,0.00029025174,-5.127852021107348,125.8082191780822,1.4144803,-5.127852012543646
80000,1.4232967,0.0002887449,-5.061145817715442,117.98823529411764,0.6371735,-5.061188029302728
90000,1.4240443,0.00028724608,-4.903957390425661,114.80851063829788,0.18372755,-4.905574679217841
100000,1.4241287,0.0002857483,-4.934819960119785,120.2875,-0.18112905,-4.934819973632694
110000,1.4238129,0.00028424853,-4.931384939909913,116.9375,-0.5907766,-4.929853125746492
120000,1.4239643,0.0002827556,-4.935965726688186,131.14473684210526,-0.99859893,-4.93600521334692
130000,1.4237462,0.00028124728,-5.117349947683661,115.51136363636364,-1.1182456,-5.116586423991771
140000,1.4227258,0.0002797533,-5.109861501188089,108.05494505494505,-1.5006362,-5.1103888715306915
150000,1.4217666,0.00027825235,-4.94881776811343,95.81188118811882,-1.7053919,-4.948255410362588
160000,1.4215131,0.00027674515,-4.60222807286209,146.703125,-1.2990652,-4.610181501393135
170000,1.4213256,0.00027524462,-4.777737282326665,148.46268656716418,-1.4094361,-4.7777372823277515
180000,1.4204957,0.00027374094,-5.136159926165516,133.98666666666668,-1.7144653,-5.13615994254748
190000,1.4195299,0.00027224838,-5.107547324868899,105.89473684210526,-2.1989841,-5.107547371716875
200000,1.4191949,0.00027075436,-4.922124964615149,128.40277777777777,-1.8266314,-4.922124941522877
210000,1.4188951,0.00026924306,-4.510141626514572,132.98611111111111,-2.0727365,-4.510141629104813
220000,1.4182626,0.00026775198,-4.937761126506601,159.08955223880596,-2.0151691,-4.935678750841004
230000,1.4177281,0.0002662682,-5.116728349100154,114.85185185185185,-2.4738848,-5.116221930195645
240000,1.417346,0.00026475068,-4.913346632484657,160.83333333333334,-1.8800441,-4.910962688215708
250000,1.4171541,0.00026324255,-4.852847840147942,132.49295774647888,-2.132244,-4.855641649104655
260000,1.4167787,0.0002617473,-4.71386191568626,134.2394366197183,-2.3440034,-4.713861927390099
270000,1.4162263,0.0002602585,-4.897554661270301,177.81132075471697,-1.822901,-4.897554677612376
280000,1.4157119,0.0002587454,-4.547479930166314,180.98181818181817,-1.8575703,-4.547479964928193
290000,1.4151635,0.00025725493,-4.844716071173729,164.61290322580646,-2.2723923,-4.844716110657299
300000,1.4140261,0.00025575684,-3.146670291997941,180.7962962962963,-1.4236659,-3.146670325072827
310000,1.4136859,0.00025426067,-4.669248586494595,139.98648648648648,-2.1043696,-4.664106826514822
320000,1.4131225,0.00025276537,-4.4527999620113405,153.4375,-1.879802,-4.445687528816052
330000,1.412465,0.00025125724,-4.055449217709753,140.2173913043478,-1.8999041,-4.076082886223282
340000,1.4116775,0.00024975135,-4.463442392202771,143.0,-1.9427139,-4.463442392421491
350000,1.4116845,0.0002482469,-4.360877374346479,164.70967741935485,-1.9259112,-4.360877365354569
360000,1.4112384,0.00024675258,-3.8609310962893373,169.672131147541,-1.8367527,-3.860931125087816
370000,1.4102376,0.00024524043,-3.3807118160263396,157.76271186440678,-1.6064103,-3.3517965524104136
380000,1.4095224,0.000243748,-4.852271808012574,162.171875,-2.2792861,-4.855433803338271
390000,1.4088688,0.00024225115,-4.5184577306939495,182.17777777777778,-1.5611717,-4.518457728955481
400000,1.4084677,0.00024074169,-4.148526908673664,177.4126984126984,-1.8005985,-4.148526900640083
410000,1.4081775,0.00023925182,-4.316230071003689,136.02739726027397,-2.1475358,-4.305963804014027
420000,1.4079549,0.00023776256,-4.207743721235602,142.9375,-1.8500537,-4.220784618992072
430000,1.4078654,0.00023625416,-4.128529798745978,178.31578947368422,-1.8872858,-4.128529807977509
440000,1.4071145,0.00023474285,-3.7786368642933668,160.66153846153847,-1.9560957,-3.7786368531676437
450000,1.40627,0.00023325233,-3.379682326789799,142.0392156862745,-1.5946527,-3.379682355359489
460000,1.4056582,0.00023175337,-3.129354877806921,168.94366197183098,-1.8955497,-3.1293549122105184
470000,1.4051967,0.00023025619,-3.4856042357141828,184.80851063829786,-1.3617939,-3.485604208359059
480000,1.4050745,0.00022875253,-3.0476392250649433,187.51785714285714,-1.5975388,-3.0476392712444067
490000,1.4050436,0.0002272524,-3.80101842854034,186.92592592592592,-1.4993644,-3.8010184541344643
500000,1.4047061,0.00022574088,-4.365303509897785,166.25,-1.7758813,-4.365303554306073
510000,1.4049034,0.00022423994,-3.7645476137861036,146.84615384615384,-1.714913,-3.7645476188797216
520000,1.4055402,0.0002227381,-3.343754504034719,159.36363636363637,-1.5661858,-3.343754570931196
530000,1.4055495,0.00022124058,-3.6247725144003553,190.33333333333334,-1.5637364,-3.624772539471879
540000,1.4052796,0.00021975128,-2.690716682205675,187.6875,-1.4653813,-2.690716693022599
550000,1.4054469,0.00021824593,-4.3776888442308906,168.57142857142858,-1.8801309,-4.3776888854446865
560000,1.4060087,0.00021675481,-4.258341149211286,138.48529411764707,-1.7612033,-4.258341142579036
570000,1.4062476,0.00021525993,-3.456219148481838,183.94230769230768,-1.5875976,-3.4562191712455106
580000,1.4059497,0.00021376018,-2.489873860588135,204.04347826086956,-1.3668003,-2.4898738778479723
590000,1.4057463,0.0002122447,-4.14590173594964,195.3859649122807,-1.8410957,-4.145901769399643
