Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.0002985132,-4.676941891634957,63.064516129032256,-1.0398375,-4.6769418933699205
20000,1.4199599,0.00029549762,-4.353002678072333,66.12925170068027,-1.3344507,-4.348221877768432
30000,1.4198737,0.0002925062,-4.566766632582682,65.68666666666667,-1.6116867,-4.566342643747727
40000,1.4207023,0.00028949004,-4.551073063995111,67.12413793103448,-1.9247657,-4.551450972772877
50000,1.4210984,0.00028649918,-4.370762866551661,65.06622516556291,-2.1556668,-4.37065824126171
60000,1.4204423,0.00028350367,-4.357716161598816,66.06756756756756,-2.386771,-4.357883713736728
70000,1.4203012,0.00028049015,-3.9308234296466127,67.63448275862069,-2.206927,-3.9307599868240026
80000,1.4201931,0.0002774844,-4.374673622528606,64.46710526315789,-2.5719726,-4.3746880928642655
90000,1.4201657,0.00027449342,-4.182070540372295,63.431372549019606,-2.6744933,-4.182061404184578
100000,1.4200373,0.00027150646,-4.329518269839316,67.77464788732394,-2.7931314,-4.334620921761839
110000,1.4193428,0.00026851927,-3.9740013055278247,65.60264900662251,-2.8678453,-3.974001303660554
120000,1.4185747,0.00026550217,-3.0770167563276667,68.88111888111888,-2.5716083,-3.063078843424438
130000,1.4184443,0.00026250383,-3.907987303025102,68.80281690140845,-2.7888093,-3.9080168623739566
140000,1.4188142,0.00025950608,-3.089058309529921,67.11805555555556,-2.7221951,-3.102595859868773
150000,1.4191362,0.0002564851,-3.3806295465009,69.47887323943662,-2.7401543,-3.3806295360268
160000,1.418931,0.0002534902,-3.367648194842899,68.57446808510639,-2.6258016,-3.3552570904472043
170000,1.4189382,0.0002504868,-3.0403364602825604,66.25675675675676,-2.7170851,-3.0541758021252265
180000,1.4193859,0.00024748372,-2.6069514136295764,69.94285714285714,-2.4217718,-2.5892287632651465
190000,1.4192913,0.00024448137,-3.0267414565603596,66.41496598639456,-2.5534873,-3.0405499538457073
200000,1.4190311,0.00024149312,-2.6803318524523974,70.45652173913044,-2.2132092,-2.680331872695166
210000,1.4186674,0.00023850783,-2.1851522916039783,64.81456953642385,-2.3946953,-2.165987976739804
220000,1.417876,0.00023550865,-2.618738728028969,66.57142857142857,-2.5217817,-2.6352323775456563
230000,1.4171671,0.00023252115,-2.7203020200174506,66.08163265306122,-2.4794,-2.720302006166403
240000,1.4167176,0.00022952053,-2.674477749177539,69.17361111111111,-2.2776024,-2.6578712946364096
