Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.00029853455,-4.891492920347514,52.94054054054054,-1.4192119,-4.890641295108134
20000,1.419933,0.00029551363,-4.892173071057656,52.736559139784944,-2.1874135,-4.8921870751887235
30000,1.4198735,0.0002925124,-5.05697352145852,56.14942528735632,-2.663997,-5.056941382929511
40000,1.4191271,0.00028951393,-4.699827497115381,58.287425149700596,-2.7502482,-4.701919021040556
50000,1.4192853,0.00028652235,-4.878755103053074,59.666666666666664,-3.0471125,-4.877424347645989
60000,1.4195588,0.0002835155,-4.7717700710719715,62.94805194805195,-3.1731844,-4.772097348344404
70000,1.4196302,0.00028050583,-4.679473033710681,63.083333333333336,-3.295558,-4.681811423818017
80000,1.4198027,0.00027750936,-4.762852310385843,63.81879194630873,-3.3868215,-4.762852334236139
90000,1.4201186,0.0002745188,-4.590122745821806,63.765822784810126,-3.421409,-4.587164280331059
100000,1.420148,0.000271507,-4.3663639704107,65.27333333333333,-3.196708,-4.366403968185186
110000,1.4198319,0.0002684949,-4.574922833430392,64.03921568627452,-3.4839315,-4.57486792152224
120000,1.4197335,0.0002655,-4.28944510376201,62.63870967741936,-3.3430102,-4.289505761044641
130000,1.4196459,0.00026249772,-3.8361131599738187,61.57232704402516,-3.1548738,-3.8360854750440554
140000,1.4192512,0.00025948667,-4.119459081353304,61.867924528301884,-3.319114,-4.119436447772215
150000,1.4189668,0.00025649552,-4.0113438978986995,61.35668789808917,-3.1425145,-4.017953108901842
160000,1.4186747,0.00025349727,-4.066934896013082,59.98795180722892,-3.1400359,-4.060999971989429
170000,1.4186476,0.0002504943,-3.5877423031981235,59.20858895705521,-2.8818634,-3.596635351684399
180000,1.4187632,0.00024751635,-3.9996505560969715,57.67058823529412,-3.1027389,-3.9934307629980985
190000,1.4187777,0.0002445198,-4.3717919778038885,56.62285714285714,-3.3947392,-4.371798871670451
200000,1.4187443,0.00024150686,-3.477376367027657,60.32298136645963,-2.9406667,-3.48708144819111
210000,1.4189968,0.00023850963,-3.6225604535802685,58.790419161676645,-2.9092963,-3.6138951892863553
220000,1.4191451,0.0002355073,-3.9873725597142418,57.95238095238095,-3.0972617,-3.993725392504557
230000,1.4186004,0.00023249746,-3.3724555690075717,57.98224852071006,-2.9110434,-3.4516928263363384
240000,1.4180346,0.00022949436,-3.3532143228375046,58.88622754491018,-2.748838,-3.2633843885924287
250000,1.41808,0.0002265029,-4.1509102508764375,59.14545454545455,-2.946476,-4.151012082849488
260000,1.4183929,0.0002235003,-2.813474226807116,58.08982035928144,-2.3614154,-2.8267595088109374
270000,1.4181,0.00022051092,-4.109887328598348,57.327586206896555,-3.2317545,-4.098830192891318
280000,1.4175699,0.00021749717,-4.004928621260602,56.69590643274854,-3.1346211,-4.01110346606651
290000,1.4172026,0.00021449286,-3.1390836609589736,56.883720930232556,-2.6957037,-3.139046456015041
300000,1.4162571,0.00021150839,-3.8368569246620523,56.9593023255814,-2.8425663,-3.836910440131675
310000,1.4154942,0.00020850367,-3.924202271771,57.08720930232558,-2.9909527,-3.924240654117839
320000,1.4148226,0.00020549718,-2.952833879932391,57.33918128654971,-2.527814,-2.9528748254939825
330000,1.4148506,0.00020249769,-3.4878999728419773,56.83139534883721,-2.805431,-3.4877616260633912
340000,1.4148605,0.00019950981,-3.183967830133735,58.11309523809524,-2.5010118,-3.184016626904763
350000,1.414787,0.00019651889,-2.8155309938030832,56.0919540229885,-2.5029247,-2.901717219501734
360000,1.4145578,0.00019351042,-1.8824282317449723,57.98823529411764,-2.1777298,-1.7942376508432276
370000,1.4140635,0.00019051362,-3.8692971420879503,54.94915254237288,-2.8684375,-3.875929194973426
380000,1.4142213,0.00018751032,-2.8899768550821037,56.786127167630056,-2.5188608,-2.877376712858677
390000,1.4142516,0.00018450237,-3.192076813829484,55.666666666666664,-2.7083664,-3.192054246652261
400000,1.4140449,0.00018149237,-2.6563473975219365,55.56,-2.205328,-2.656375991361482
410000,1.4132614,0.00017849226,-3.1818113420714242,56.01136363636363,-2.3848155,-3.181821599433368
420000,1.4129591,0.00017550783,-4.010569713759334,56.2906976744186,-3.0281432,-4.010562746374067
430000,1.4123633,0.00017252145,-2.1090369787190992,56.21965317919075,-2.3139162,-2.125971244498231
440000,1.4117377,0.00016951832,-3.096862459450759,56.3125,-2.7717419,-3.096862490881573
450000,1.4115613,0.00016651861,-1.7512248375658261,55.51977401129943,-1.8797368,-1.7324192965487866
460000,1.4111456,0.00016349065,-2.1224167264331983,54.67039106145251,-2.1934485,-2.12249270539377
470000,1.4104912,0.00016048992,-2.259716343891012,55.57627118644068,-2.166762,-2.2596271147498976
480000,1.410138,0.000157504,-1.988253381653604,55.65340909090909,-1.8209167,-1.9882943069308319
490000,1.4099742,0.00015449955,-1.4711444015019677,53.772222222222226,-1.5400848,-1.4711955306016737
500000,1.409927,0.00015150032,-2.259928783486034,55.69491525423729,-2.0091088,-2.3446406911490327
510000,1.4096885,0.00014850202,-1.9719121885162572,54.49444444444445,-1.8917611,-1.888625517487526
520000,1.4093889,0.00014548679,-1.8743771406335998,53.02173913043478,-1.6733314,-1.8915124137659332
530000,1.4089721,0.00014249708,-1.4668195530273649,53.07065217391305,-1.7308084,-1.4668195472787255
540000,1.4083183,0.00013950915,-1.9894481476747397,51.56544502617801,-1.9239336,-1.973321043856834
550000,1.4079722,0.00013649988,-2.72158884222671,54.22222222222222,-1.9479123,-2.7216110390921435
560000,1.4077668,0.00013349601,-1.4018708950871965,51.96296296296296,-1.6905013,-1.4018761788411116
570000,1.4073747,0.00013049303,-1.648951504152681,50.34020618556701,-1.7448803,-1.6489824487146028
580000,1.4070243,0.00012749409,-2.021711411537307,53.830601092896174,-1.8625789,-2.021603255853301
590000,1.4067887,0.00012449398,-1.6569966492397474,54.04419889502763,-1.7162361,-1.739903820647719
600000,1.4065474,0.000121493424,-0.9255290945915495,51.80952380952381,-1.1612015,-0.8461872938843
610000,1.4063458,0.00011850387,-1.0306566719028176,50.63917525773196,-1.308047,-1.1079752452133858
