Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
10000,1.4189382,0.00029850658,2.8952208,-4.886324258373872,55.0,-4.88632428776578
20000,1.4208728,0.00029550045,1.9913875,-4.3454142405105465,58.82738095238095,-4.341167649198435
30000,1.4223087,0.00029249483,0.88345784,-4.508467443134533,59.65644171779141,-4.5117975281233464
40000,1.4227334,0.00028949443,0.67082083,-4.4900458129641905,62.32484076433121,-4.49004582121114
50000,1.4234468,0.0002864987,-0.20807242,-4.679293538301956,62.90384615384615,-4.67686702503312
60000,1.4234774,0.00028350102,-0.54566556,-4.398382243746007,62.0253164556962,-4.3983417367916315
70000,1.4231706,0.0002804946,-0.5571565,-4.289736738063455,62.87741935483871,-4.294685885644494
80000,1.4229794,0.0002774953,-0.74266744,-4.674731144067747,63.31818181818182,-4.674731153220712
90000,1.4230947,0.00027449866,-1.1674737,-4.470263539065625,65.16556291390728,-4.466390633930763
100000,1.4228625,0.00027149677,-1.4964278,-4.680805061341732,62.038216560509554,-4.683149342767045
110000,1.4222714,0.00026849422,-1.4375935,-3.874226445097797,65.23841059602648,-3.8663146676123143
120000,1.4217877,0.00026549993,-2.2379873,-4.77349028209705,62.75483870967742,-4.773552227645151
130000,1.4215348,0.0002625041,-2.044598,-4.303183501565687,61.68987341772152,-4.307889306554629
140000,1.4213865,0.0002594974,-2.176921,-4.1827397990433095,64.0718954248366,-4.182739801558793
150000,1.4205592,0.00025649462,-2.4047494,-4.577425939221443,63.44155844155844,-4.5774259660151095
160000,1.4196664,0.0002534955,-2.264569,-3.9996606280170983,63.13548387096774,-3.999660646386685
170000,1.4190208,0.0002505004,-2.6795354,-4.473399956621793,64.4342105263158,-4.469517833744454
180000,1.4190034,0.0002475033,-2.4837997,-3.6472364530910344,61.35220125786164,-3.6560637334827333
190000,1.4188867,0.00024449875,-2.4834077,-3.813656377946385,62.666666666666664,-3.8136563639228163
200000,1.4186234,0.00024149935,-2.217206,-3.3221960965093347,63.08387096774194,-3.3221961081027986
210000,1.4187989,0.00023849684,-2.2601829,-3.9570625332552667,60.484662576687114,-3.950277736801424
220000,1.4187984,0.00023549829,-2.0183575,-3.2253341517636493,63.0,-3.2253651202686373
230000,1.4184456,0.00023250192,-2.7851417,-4.1241937307466285,60.7125,-4.129952776043312
240000,1.417877,0.00022949964,-2.0863035,-2.919360208968626,61.2360248447205,-2.999784976430237
250000,1.4171492,0.00022649272,-2.405306,-3.3944172448044596,60.17901234567901,-3.31255822304202
260000,1.4164274,0.00022349325,-1.9747527,-2.9315851615299184,60.28395061728395,-2.9315851623261415
270000,1.4159958,0.00022049715,-2.593037,-3.2738011455374014,58.589285714285715,-3.2631316869826374
280000,1.415615,0.00021750171,-2.0836334,-3.403905472926727,59.41717791411043,-3.413976762125768
290000,1.4153715,0.00021450118,-2.0594285,-2.7517289604630717,58.52662721893491,-2.738033283856653
300000,1.4148349,0.00021149276,-2.522963,-3.2911887867911287,60.40372670807454,-3.3020617037459656
310000,1.4142809,0.00020849601,-2.143989,-2.7037760578564503,61.295597484276726,-2.703776061253728
320000,1.4140269,0.00020550468,-2.3181925,-2.609529506075401,61.339622641509436,-2.6095294990348368
330000,1.4138831,0.00020250324,-2.2732801,-3.333544189372862,59.89090909090909,-3.3229974862642404
340000,1.4138998,0.00019949865,-2.0874166,-2.93164565002425,60.34567901234568,-2.9317123061620896
350000,1.4134645,0.0001965012,-1.7659438,-2.0421804723872166,59.5609756097561,-2.042178017109996
360000,1.4128488,0.00019350612,-1.9017911,-2.4233454107518564,58.7939393939394,-2.4391854977212755
370000,1.4125575,0.00019050723,-1.6735325,-2.0783469390856237,59.4277108433735,-2.0603175070249673
380000,1.4119016,0.00018750508,-1.9903351,-2.469823796803775,58.232142857142854,-2.5589118849131323
390000,1.4111552,0.00018450501,-1.526839,-1.7247672384694677,57.25730994152047,-1.637225731379456
400000,1.4107406,0.00018150418,-1.6079258,-2.112708274803091,58.285714285714285,-2.2020320568145033
410000,1.4108196,0.00017850545,-1.1964463,-1.329012702007891,56.53179190751445,-1.242306345933779
420000,1.4111625,0.00017550385,-1.6837144,-2.1634210039131694,57.33918128654971,-2.1633555208991844
430000,1.4104881,0.00017249871,-1.310603,-1.1985578829019565,57.36257309941521,-1.2862690000941879
440000,1.410002,0.00016949532,-1.3115218,-1.969797605258303,57.22941176470588,-1.9001636963490156
450000,1.4095763,0.00016650064,-1.0641719,-0.9279233107376776,58.78443113772455,-0.9030119927981531
460000,1.408799,0.00016350095,-1.004723,-0.2610802337957741,56.70348837209303,-0.2888381558691146
470000,1.4086016,0.00016049886,-0.87855667,-0.1773691946770114,58.142011834319526,-0.14828806694242216
480000,1.4085374,0.00015749923,-1.2658185,-1.482276728876249,57.00581395348837,-1.5695592715123365
490000,1.4079797,0.00015449578,-0.3614851,0.6983767575015812,56.627906976744185,0.7518520328523106
500000,1.407288,0.0001515,-0.5587446,0.3552935183152953,58.06508875739645,0.3874869542196393
510000,1.4065549,0.0001485072,-0.06091087,1.0799704517319861,55.63068181818182,1.0799829321490093
520000,1.4059662,0.00014550032,-1.2241303,-0.5306301493010375,54.98324022346369,-0.6144022276448138
530000,1.405451,0.00014249749,-0.46375844,0.4219517234602964,54.848314606741575,0.5061707849499215
540000,1.4050925,0.0001395041,-0.38865617,0.6746483236208579,54.938202247191015,0.5904056489300192
550000,1.4049349,0.0001365041,0.1356628,1.2231608811150934,53.255434782608695,1.3046706523746252
560000,1.4047347,0.00013350234,-0.45498863,0.00042654881485382825,54.11602209944751,0.0004541503461026355
570000,1.4041407,0.00013050089,-0.2756717,1.0113213436672963,53.58469945355191,0.9292929219743593
580000,1.4032865,0.00012750101,0.2133792,1.0114120757130936,53.459016393442624,1.093397833895488
590000,1.4027059,0.00012450406,-0.38988256,0.35029678188529745,52.23118279569893,0.3214128228591725
600000,1.4024134,0.00012150058,0.043898143,0.9623700611973132,52.967914438502675,0.9140613215264454
610000,1.4020516,0.00011849575,0.3202636,1.189646481097097,52.86486486486486,1.1896280908504049
620000,1.4016064,0.00011550086,0.5636254,1.765220354027289,52.29946524064171,1.8455101594249195
630000,1.4012618,0.00011250484,0.5467813,2.0161162455315114,51.246073298429316,1.9375267078349103
640000,1.4010624,0.000109506786,0.5075997,1.9316349102839552,51.82010582010582,2.010961888801484
650000,1.4008536,0.00010650462,0.66901964,1.8088244920400804,52.1968085106383,1.8088532058482474
660000,1.4004984,0.00010350352,0.9549741,2.3715762803775076,50.4639175257732,2.371565978206003
670000,1.4001913,0.000100499514,0.8540652,2.179694347593408,50.45641025641026,2.102829723021923
680000,1.3997375,9.7496406e-05,1.2197429,2.180255371245006,49.84102564102564,2.2198459010343163
690000,1.3996345,9.450217e-05,1.7577871,3.7690592703453953,49.38693467336683,3.7377868526888016
700000,1.3995074,9.150293e-05,2.039945,4.268019186432775,49.525252525252526,4.268079779327217
710000,1.3992969,8.850024e-05,1.3682029,2.8286777503689695,49.47979797979798,2.82863734560934
720000,1.3989005,8.5501655e-05,1.7018412,3.3924392067380342,49.130653266331656,3.467876380786824
730000,1.3984678,8.250298e-05,1.8361069,3.575415996343363,48.985,3.5003169663622975
