Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Reward
740000,1.3980507,7.9505335e-05,2.0368354,3.650509978289483,48.895,3.7255659700930117
750000,1.3976773,7.650267e-05,2.2142644,3.9358336392312894,48.62871287128713,3.935819761809146
760000,1.3974146,7.349696e-05,2.3360188,3.701346060232597,48.06372549019608,3.7013754670088197
770000,1.3974781,7.049349e-05,2.1798337,3.5649851251573366,48.227722772277225,3.5225487533461286
780000,1.397307,6.749725e-05,2.7154286,4.204311425399165,48.791044776119406,4.250612974949181
790000,1.3972056,6.4503496e-05,2.6554954,4.3449941598132105,47.57281553398058,4.272150486707687
800000,1.3968327,6.1503e-05,2.34812,3.732196092014996,47.707317073170735,3.732153159961468
810000,1.3964821,5.849951e-05,2.6667743,4.113542848645154,48.40394088669951,4.187446321906714
820000,1.3963236,5.5495468e-05,2.5342398,3.9360643425347783,48.44059405940594,3.9360712397437876
830000,1.3961773,5.249878e-05,3.1342406,4.75651510109807,47.707317073170735,4.756559974536663
840000,1.3959163,4.9499624e-05,2.93879,4.904261514514264,47.03846153846154,4.832068246896737
850000,1.3957205,4.6498342e-05,3.3753686,5.238469529870366,46.65238095238095,5.238472361330476
860000,1.3955309,4.350066e-05,3.662866,5.524321896297901,46.48571428571429,5.52436666336088
870000,1.3953798,4.0502702e-05,3.0995634,4.696594370013346,45.771028037383175,4.6965980725798095
880000,1.3953182,3.7499158e-05,3.6614666,5.189899519628788,46.45023696682465,5.189928890510475
890000,1.3951844,3.4497767e-05,3.4137545,4.54372306075059,47.02403846153846,4.54365191107186
900000,1.3950018,3.150286e-05,3.882046,5.261184830876218,46.2654028436019,5.332315651797005
910000,1.3948009,2.8501645e-05,3.8136268,5.212579216925595,46.2688679245283,5.212566017050226
920000,1.3946211,2.549713e-05,3.5693896,4.928571276124968,46.90909090909091,4.928625827307621
930000,1.3944602,2.2494187e-05,3.8117716,5.336978801137705,47.04326923076923,5.336934571226056
940000,1.3943418,1.950022e-05,3.5245638,4.667227611873698,46.457142857142856,4.595739026899849
950000,1.3942951,1.649764e-05,3.708367,4.809738096395241,46.81428571428572,4.881293308912289
960000,1.394254,1.3493687e-05,3.4929159,4.763507066455657,46.28909952606635,4.692373428970434
970000,1.3941911,1.049651e-05,4.032068,5.283426409934314,46.14622641509434,5.354138633728309
980000,1.3941442,7.5018365e-06,3.438907,3.9105080752490062,46.241706161137444,3.910518481268137
990000,1.3941203,4.5058437e-06,4.1867347,6.395755330104987,45.51162790697674,6.325970221224219
1000000,1.3941125,1.5056214e-06,3.9732304,5.354169786629873,46.15094339622642,5.35418295814603
