Steps,Policy/Entropy,Policy/Learning Rate,Environment/Cumulative Reward,Environment/Episode Length,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward
10000,1.4189383,0.00029926992,-5.127599919362674,125.5079365079365,-0.3606292,-5.127599907654618
20000,1.4195408,0.0002977503,-5.090450596055016,154.61333333333334,-0.5243769,-5.090932389167515
30000,1.4212298,0.00029624457,-5.116794828083725,114.88461538461539,-0.61257905,-5.116010082673423
40000,1.4228889,0.000294743,-5.145372935397726,143.01351351351352,-0.7020726,-5.145372906246701
50000,1.4240978,0.0002932507,-5.1466870535758416,144.2741935483871,-0.785719,-5.146687039925206
60000,1.4253132,0.00029174748,-4.907781746697076,132.95454545454547,-0.80663735,-4.907781771751064
70000,1.4256592,0.00029024767,-5.004247010353377,197.05882352941177,-0.76204306,-5.004246986964169
80000,1.4258939,0.0002887429,-5.082728895290577,146.14473684210526,-1.3437481,-5.082728927121742
90000,1.4262006,0.0002872489,-5.158383281385371,155.83333333333334,-1.2463375,-5.15838329307735
100000,1.4263029,0.0002857537,-5.121024063404043,119.09638554216868,-1.7613285,-5.121024029800691
110000,1.4264746,0.00028424774,-5.122928672293522,120.88505747126437,-2.0454895,-5.122928661776
120000,1.4270911,0.0002827495,-5.057302321537073,114.83333333333333,-2.1504872,-5.057302301838284
130000,1.4275407,0.00028125622,-4.722289446888394,115.10526315789474,-1.9761907,-4.7222894583093495
140000,1.4274455,0.00027975498,-4.848416325299844,173.44262295081967,-1.8776437,-5.08698662109673
150000,1.4268558,0.0002782402,-4.913499915774799,138.53030303030303,-2.0460236,-4.698883518243014
160000,1.426205,0.00027673604,-4.845971369320833,160.8095238095238,-1.8325493,-4.845971403022607
170000,1.4258815,0.00027525137,-5.1472098166313875,144.78688524590163,-1.9855279,-5.147209804688321
180000,1.4260072,0.00027374955,-4.629628067767044,173.703125,-1.967586,-4.629628072376363
190000,1.4262712,0.00027224523,-4.871386436361275,139.24324324324326,-2.3353035,-4.868860254242812
200000,1.4259642,0.00027075742,-5.126287032786246,124.33870967741936,-1.9913813,-5.125168222756613
210000,1.4256008,0.00026925336,-5.072756051626617,131.52439024390245,-2.5407734,-5.072756068463006
220000,1.4253763,0.00026775134,-4.9210354338077105,160.2741935483871,-2.1183898,-4.921035447187962
230000,1.4245458,0.00026625927,-5.0125318605953115,221.6595744680851,-1.806117,-5.0125318356650945
240000,1.4237518,0.00026476017,-5.131441117805319,129.36764705882354,-2.1858976,-5.131441110525937
250000,1.4233013,0.000263257,-4.653985408658098,196.34545454545454,-1.892895,-4.653985438360409
260000,1.4228106,0.00026174827,-4.5953395844279035,158.71698113207546,-2.0120509,-4.595339597958438
270000,1.4225762,0.00026023883,-4.223057097053185,172.63492063492063,-2.0856323,-4.223057113233066
280000,1.4223671,0.00025874432,-5.1294117051156185,127.29411764705883,-2.3398724,-5.129411715904579
290000,1.421781,0.00025724096,-4.677599926009553,183.16949152542372,-2.0661514,-4.6775999215699855
300000,1.4216343,0.0002557447,-4.61448209705746,147.78571428571428,-2.0221982,-4.614482123271695
310000,1.4213624,0.00025424914,-4.8304035872258035,191.07272727272726,-1.9461681,-4.830403583293611
320000,1.4206059,0.00025275807,-5.185909050673415,182.9090909090909,-2.0818756,-5.185909082266417
330000,1.4196088,0.00025124985,-4.887106070342493,190.16326530612244,-1.7657726,-4.887106088959441
340000,1.4193949,0.00024974582,-4.373392521464093,203.42592592592592,-1.8717861,-4.373392542065294
350000,1.4188693,0.0002482458,-4.626221731846983,168.98181818181817,-1.7892408,-4.617818434895189
360000,1.4186373,0.0002467468,-5.106239939564257,202.92,-1.9310476,-5.105725472172101
370000,1.4184399,0.00024525943,-3.7346614921519246,174.05769230769232,-1.8230648,-3.7346615185244727
380000,1.4177984,0.0002437583,-3.2382475857649253,257.9047619047619,-1.6368687,-3.238247604419788
390000,1.4172541,0.00024225746,-4.449112764464166,214.87179487179486,-1.4817088,-4.449112772941589
400000,1.4163846,0.00024074667,-4.59182493451893,213.375,-1.8077879,-4.5918249629127486
410000,1.4152375,0.00023924178,-4.134825769498064,180.25806451612902,-2.3161047,-4.13482580478153
420000,1.4138862,0.00023774811,-4.582179924924858,179.2,-1.9508014,-4.582179941087961
430000,1.4129463,0.00023624294,-4.615375357775841,151.2923076923077,-2.198442,-4.6153753753464954
440000,1.4121358,0.00023474892,-5.008993584637268,164.96825396825398,-2.08505,-5.008993600450811
450000,1.4114947,0.0002332476,-4.91816053669688,143.13636363636363,-2.1833599,-4.918160541491075
460000,1.4112434,0.00023174999,-4.6113872421898,164.26984126984127,-2.2367787,-4.611387245357037
470000,1.4107364,0.00023025961,-4.625478523363459,158.57142857142858,-2.0068474,-4.6254785575770905
480000,1.4099895,0.00022874915,-4.325713841221942,156.40277777777777,-2.4035697,-4.314656294462546
490000,1.4095731,0.00022725826,-4.879086204000986,170.3921568627451,-2.0649102,-4.8835422575760346
500000,1.4089662,0.00022575467,-4.497882717401933,184.6206896551724,-2.0009768,-4.488042054599838
510000,1.4085082,0.00022424929,-5.078916595841292,180.10416666666666,-2.018967,-5.078506086249741
520000,1.4083667,0.00022274582,-4.762444012316429,183.28813559322035,-2.1670856,-4.757599945212233
530000,1.4076536,0.00022125225,-4.87745652712864,157.9056603773585,-2.0998569,-4.880529530622341
